City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Bellingham,07/15/2020,138,8,Decrease,2066.00,247.00,8,3.24%
Belmont,07/15/2020,232,<5,Decrease,3551.00,545.00,3,0.55%
Berkley,07/15/2020,71,0,Decrease,983.00,64.00,2,3.13%
Berlin,07/15/2020,20,0,No Change,429.00,47.00,0,0.00%
Bernardston,07/15/2020,7,0,Decrease,241.00,39.00,0,0.00%
Beverly,07/15/2020,620,5,Decrease,6930.00,822.00,11,1.34%
Billerica,07/15/2020,572,21,Decrease,6620.00,794.00,27,3.40%
Blackstone,07/15/2020,55,5,Decrease,1120.00,154.00,5,3.25%
Blandford,07/15/2020,<5,0,No Change,91.00,16.00,0,0.00%
Bolton,07/15/2020,11,0,No Change,575.00,97.00,0,0.00%
Boston,07/15/2020,14316,304,Decrease,141184.00,18043.00,416,2.31%
Bourne,07/15/2020,159,<5,Decrease,3001.00,352.00,4,1.14%
Boxborough,07/15/2020,26,<5,No Change,581.00,70.00,1,1.43%
Boxford,07/15/2020,43,<5,Decrease,989.00,175.00,1,0.57%
Boylston,07/15/2020,21,<5,No Change,586.00,88.00,2,2.27%
Braintree,07/15/2020,816,6,Increase,7152.00,749.00,11,1.47%
Brewster,07/15/2020,107,<5,Decrease,1501.00,280.00,4,1.43%
Bridgewater,07/15/2020,357,0,Decrease,5588.00,347.00,1,0.29%
Brimfield,07/15/2020,7,<5,Increase,357.00,75.00,1,1.33%
Brockton,07/15/2020,4275,35,Decrease,25186.00,1635.00,64,3.91%
Brookfield,07/15/2020,20,<5,Increase,378.00,74.00,1,1.35%
Brookline,07/15/2020,403,11,Decrease,8039.00,1336.00,17,1.27%
Buckland,07/15/2020,8,0,No Change,43.00,4.00,0,0.00%
Burlington,07/15/2020,268,<5,Increase,3762.00,455.00,2,0.44%
Cambridge,07/15/2020,985,13,Decrease,26566.00,3108.00,22,0.71%
Canton,07/15/2020,292,<5,No Change,4392.00,402.00,6,1.49%
Carlisle,07/15/2020,19,<5,No Change,557.00,106.00,2,1.89%
Carver,07/15/2020,61,<5,No Change,1549.00,163.00,3,1.84%
Charlemont,07/15/2020,<5,<5,No Change,150.00,29.00,1,3.45%
Charlton,07/15/2020,86,6,Decrease,2008.00,283.00,9,3.18%
Chatham,07/15/2020,20,<5,Increase,911.00,121.00,2,1.65%
Chelmsford,07/15/2020,341,7,Increase,6531.00,656.00,11,1.68%
Chelsea,07/15/2020,2977,50,Decrease,13627.00,1694.00,80,4.72%
Cheshire,07/15/2020,<5,0,No Change,309.00,49.00,0,0.00%
Chester,07/15/2020,<5,0,No Change,124.00,17.00,0,0.00%
Chesterfield,07/15/2020,<5,<5,No Change,93.00,15.00,1,6.67%
Chicopee,07/15/2020,469,28,Decrease,7541.00,1000.00,29,2.90%
Chilmark,07/15/2020,<5,0,No Change,515.00,184.00,0,0.00%
Clarksburg,07/15/2020,7,0,No Change,119.00,17.00,0,0.00%
Clinton,07/15/2020,257,5,Decrease,2506.00,244.00,6,2.46%
Cohasset,07/15/2020,27,0,Decrease,820.00,109.00,0,0.00%
Colrain,07/15/2020,<5,0,No Change,148.00,27.00,0,0.00%
Concord,07/15/2020,177,6,Increase,4024.00,510.00,7,1.37%
Conway,07/15/2020,<5,0,No Change,220.00,49.00,0,0.00%
Cummington,07/15/2020,<5,0,No Change,113.00,21.00,0,0.00%
Dalton,07/15/2020,16,0,Decrease,789.00,100.00,0,0.00%
Danvers,07/15/2020,741,<5,Decrease,7253.00,874.00,10,1.14%
Dartmouth,07/15/2020,394,6,Increase,5814.00,434.00,10,2.30%
Dedham,07/15/2020,412,7,Increase,5047.00,576.00,10,1.74%
Deerfield,07/15/2020,11,<5,No Change,623.00,117.00,2,1.71%
Dennis,07/15/2020,95,0,No Change,2026.00,272.00,3,1.10%
Dighton,07/15/2020,67,0,No Change,985.00,54.00,0,0.00%
Douglas,07/15/2020,49,<5,No Change,942.00,141.00,2,1.42%
Dover,07/15/2020,18,0,No Change,583.00,108.00,0,0.00%
Dracut,07/15/2020,479,9,Decrease,6473.00,725.00,17,2.34%
Dudley,07/15/2020,95,<5,Decrease,1414.00,265.00,5,1.89%
Dunstable,07/15/2020,10,0,No Change,334.00,44.00,0,0.00%
Duxbury,07/15/2020,117,<5,Decrease,2525.00,308.00,3,0.97%
East Bridgewater,07/15/2020,181,<5,Decrease,2121.00,177.00,1,0.56%
East Brookfield,07/15/2020,13,0,No Change,251.00,53.00,0,0.00%
East Longmeadow,07/15/2020,275,0,Decrease,2577.00,296.00,0,0.00%
Eastham,07/15/2020,10,0,No Change,583.00,90.00,0,0.00%
Easthampton,07/15/2020,87,<5,Decrease,2205.00,375.00,3,0.80%
Easton,07/15/2020,278,<5,Decrease,3552.00,326.00,4,1.23%
Edgartown,07/15/2020,9,<5,Decrease,1361.00,436.00,1,0.23%
Egremont,07/15/2020,5,0,No Change,99.00,15.00,0,0.00%
Erving,07/15/2020,6,0,No Change,202.00,30.00,0,0.00%
Essex,07/15/2020,24,0,No Change,442.00,67.00,0,0.00%
Everett,07/15/2020,1800,36,Increase,11594.00,2416.00,45,1.86%
Fairhaven,07/15/2020,242,<5,Decrease,3302.00,279.00,1,0.36%
Fall River,07/15/2020,1664,52,Decrease,18386.00,1297.00,81,6.25%
Falmouth,07/15/2020,206,<5,Decrease,5955.00,871.00,6,0.69%
Fitchburg,07/15/2020,803,7,Decrease,8617.00,756.00,12,1.59%
Florida,07/15/2020,<5,0,No Change,48.00,3.00,0,0.00%
Foxborough,07/15/2020,117,<5,Decrease,3063.00,507.00,2,0.39%
Framingham,07/15/2020,1756,14,Decrease,12822.00,1074.00,20,1.86%
Franklin,07/15/2020,139,<5,Decrease,3562.00,533.00,2,0.38%
Freetown,07/15/2020,106,7,Increase,1183.00,89.00,7,7.87%
Gardner,07/15/2020,196,<5,Decrease,5568.00,530.00,2,0.38%
Georgetown,07/15/2020,62,<5,Decrease,1081.00,158.00,2,1.27%
Gill,07/15/2020,<5,0,No Change,132.00,23.00,0,0.00%
Gloucester,07/15/2020,260,<5,Increase,4017.00,644.00,3,0.47%
Goshen,07/15/2020,<5,0,No Change,46.00,6.00,0,0.00%
Gosnold,07/15/2020,0,0,No Change,0.00,0.00,0,0.00%
Grafton,07/15/2020,97,<5,Decrease,2156.00,298.00,5,1.68%
Granby,07/15/2020,32,<5,Decrease,622.00,108.00,2,1.85%
Granville,07/15/2020,13,<5,Decrease,195.00,28.00,1,3.57%
Great Barrington,07/15/2020,73,0,Decrease,1584.00,169.00,0,0.00%
Greenfield,07/15/2020,209,<5,Decrease,3069.00,436.00,4,0.92%
Groton,07/15/2020,43,0,No Change,1392.00,144.00,1,0.69%
Groveland,07/15/2020,42,5,Increase,843.00,111.00,7,6.31%
Hadley,07/15/2020,44,0,Decrease,1330.00,190.00,0,0.00%
Halifax,07/15/2020,58,<5,Increase,1052.00,96.00,2,2.08%
Hamilton,07/15/2020,36,0,Decrease,921.00,163.00,2,1.23%
Hampden,07/15/2020,98,0,Decrease,785.00,86.00,0,0.00%
Hancock,07/15/2020,<5,0,No Change,25.00,6.00,0,0.00%
Hanover,07/15/2020,74,0,Decrease,1774.00,236.00,0,0.00%
Hanson,07/15/2020,109,0,Decrease,1519.00,153.00,0,0.00%
Hardwick,07/15/2020,9,0,No Change,265.00,36.00,0,0.00%
Harvard,07/15/2020,18,0,No Change,630.00,108.00,1,0.93%
Harwich,07/15/2020,131,5,No Change,2117.00,268.00,5,1.87%
Hatfield,07/15/2020,18,<5,Increase,417.00,78.00,1,1.28%
Haverhill,07/15/2020,1250,8,Decrease,12463.00,1167.00,16,1.37%
Hawley,07/15/2020,0,0,No Change,17.00,5.00,0,0.00%
Heath,07/15/2020,0,0,No Change,36.00,6.00,0,0.00%
Hingham,07/15/2020,281,<5,Decrease,3696.00,401.00,3,0.75%
Hinsdale,07/15/2020,<5,0,Decrease,268.00,55.00,0,0.00%
Holbrook,07/15/2020,197,<5,Increase,1959.00,193.00,7,3.63%
Holden,07/15/2020,124,<5,No Change,2926.00,379.00,4,1.06%
Holland,07/15/2020,8,0,No Change,206.00,50.00,0,0.00%
Holliston,07/15/2020,56,0,No Change,1711.00,230.00,0,0.00%
Holyoke,07/15/2020,942,25,Increase,8793.00,1233.00,32,2.60%
Hopedale,07/15/2020,43,<5,Increase,955.00,99.00,1,1.01%
Hopkinton,07/15/2020,131,<5,Decrease,2327.00,311.00,4,1.29%
Hubbardston,07/15/2020,7,<5,No Change,530.00,67.00,1,1.49%
Hudson,07/15/2020,195,<5,Increase,2714.00,335.00,6,1.79%
Hull,07/15/2020,52,<5,Increase,1316.00,193.00,3,1.55%
Huntington,07/15/2020,14,0,No Change,274.00,59.00,0,0.00%
Ipswich,07/15/2020,70,0,No Change,2051.00,314.00,0,0.00%
Kingston,07/15/2020,138,<5,No Change,2298.00,292.00,5,1.71%
Lakeville,07/15/2020,61,<5,Decrease,1325.00,112.00,1,0.89%
Lancaster,07/15/2020,101,0,Decrease,1144.00,128.00,0,0.00%
Lanesborough,07/15/2020,8,0,No Change,297.00,50.00,0,0.00%
Lawrence,07/15/2020,3686,146,Increase,22805.00,3101.00,196,6.32%
Lee,07/15/2020,19,0,No Change,742.00,80.00,0,0.00%
Leicester,07/15/2020,153,<5,No Change,1729.00,202.00,2,0.99%
Lenox,07/15/2020,14,<5,Increase,1063.00,126.00,1,0.79%
Leominster,07/15/2020,708,10,Decrease,8731.00,869.00,17,1.96%
Leverett,07/15/2020,<5,0,No Change,226.00,50.00,0,0.00%
Lexington,07/15/2020,331,<5,Decrease,4206.00,540.00,6,1.11%
Leyden,07/15/2020,0,0,No Change,16.00,4.00,0,0.00%
Lincoln,07/15/2020,41,0,Decrease,1140.00,144.00,1,0.69%
Littleton,07/15/2020,101,<5,No Change,1340.00,194.00,2,1.03%
Longmeadow,07/15/2020,223,6,Increase,2345.00,322.00,6,1.86%
Lowell,07/15/2020,2958,52,Decrease,27126.00,2759.00,82,2.97%
Ludlow,07/15/2020,129,5,No Change,2837.00,413.00,6,1.45%
Lunenburg,07/15/2020,66,<5,No Change,1482.00,182.00,2,1.10%
Lynn,07/15/2020,3725,72,Increase,23955.00,2766.00,116,4.19%
Lynnfield,07/15/2020,98,<5,Decrease,1842.00,272.00,4,1.47%
Malden,07/15/2020,1267,26,Decrease,11899.00,1366.00,36,2.64%
Manchester,07/15/2020,20,0,No Change,543.00,108.00,0,0.00%
Mansfield,07/15/2020,166,<5,Decrease,2905.00,305.00,3,0.98%
Marblehead,07/15/2020,240,6,Decrease,3552.00,614.00,8,1.30%
Marion,07/15/2020,13,0,No Change,787.00,68.00,0,0.00%
Marlborough,07/15/2020,1000,13,Decrease,8120.00,800.00,14,1.75%
Marshfield,07/15/2020,171,<5,No Change,3435.00,426.00,3,0.70%
Mashpee,07/15/2020,67,<5,Increase,2510.00,412.00,7,1.70%
Mattapoisett,07/15/2020,37,0,Decrease,785.00,94.00,1,1.06%
Maynard,07/15/2020,71,0,No Change,1530.00,183.00,0,0.00%
Medfield,07/15/2020,39,<5,Increase,1383.00,219.00,5,2.28%
Medford,07/15/2020,1047,15,Decrease,11557.00,1452.00,23,1.58%
Medway,07/15/2020,120,<5,Decrease,1641.00,212.00,2,0.94%
Melrose,07/15/2020,255,10,Decrease,4560.00,734.00,13,1.77%
Mendon,07/15/2020,31,<5,No Change,642.00,87.00,1,1.15%
Merrimac,07/15/2020,35,0,No Change,838.00,95.00,0,0.00%
Methuen,07/15/2020,1050,19,Decrease,9954.00,1101.00,28,2.54%
Middleborough,07/15/2020,269,<5,Decrease,3835.00,289.00,5,1.73%
Middlefield,07/15/2020,0,0,No Change,19.00,2.00,0,0.00%
Middleton,07/15/2020,169,<5,Decrease,1547.00,153.00,4,2.61%
Milford,07/15/2020,652,8,Decrease,5669.00,694.00,11,1.59%
Millbury,07/15/2020,215,<5,Decrease,2127.00,234.00,4,1.71%
Millis,07/15/2020,50,<5,Decrease,989.00,120.00,1,0.83%
Millville,07/15/2020,22,<5,No Change,365.00,53.00,5,9.43%
Milton,07/15/2020,307,5,Decrease,4049.00,535.00,6,1.12%
Monroe,07/15/2020,0,0,No Change,11.00,1.00,0,0.00%
Monson,07/15/2020,42,5,No Change,838.00,129.00,5,3.88%
Montague,07/15/2020,29,0,Decrease,1096.00,153.00,0,0.00%
Monterey,07/15/2020,<5,<5,No Change,89.00,23.00,1,4.35%
Montgomery,07/15/2020,<5,0,No Change,22.00,4.00,0,0.00%
Mount Washington,07/15/2020,0,0,No Change,3.00,0.00,0,0.00%
Nahant,07/15/2020,40,0,No Change,557.00,65.00,0,0.00%
Nantucket,07/15/2020,22,<5,Decrease,1785.00,430.00,3,0.70%
Natick,07/15/2020,421,<5,Decrease,4916.00,711.00,6,0.84%
Needham,07/15/2020,334,6,No Change,4575.00,635.00,8,1.26%
New Ashford,07/15/2020,0,0,No Change,12.00,2.00,0,0.00%
New Bedford,07/15/2020,2167,22,Decrease,19795.00,1357.00,56,4.13%
New Braintree,07/15/2020,<5,<5,Increase,86.00,12.00,1,8.33%
New Marlborough,07/15/2020,7,0,No Change,103.00,11.00,0,0.00%
New Salem,07/15/2020,<5,0,No Change,105.00,12.00,1,8.33%
Newbury,07/15/2020,14,0,Decrease,854.00,144.00,0,0.00%
Newburyport,07/15/2020,101,<5,No Change,3153.00,448.00,5,1.12%
Newton,07/15/2020,776,6,Decrease,14730.00,2285.00,16,0.70%
Norfolk,07/15/2020,28,<5,Increase,2387.00,140.00,1,0.71%
North Adams,07/15/2020,47,<5,Increase,1230.00,166.00,2,1.20%
North Andover,07/15/2020,358,13,Increase,5585.00,841.00,14,1.66%
North Attleborough,07/15/2020,263,6,Decrease,3101.00,282.00,11,3.90%
North Brookfield,07/15/2020,18,<5,No Change,492.00,86.00,1,1.16%
North Reading,07/15/2020,193,<5,Decrease,2091.00,318.00,5,1.57%
Northampton,07/15/2020,282,<5,Decrease,5360.00,763.00,3,0.39%
Northborough,07/15/2020,224,<5,No Change,2337.00,274.00,1,0.36%
Northbridge,07/15/2020,312,<5,No Change,2886.00,299.00,1,0.33%
Northfield,07/15/2020,<5,0,No Change,283.00,45.00,0,0.00%
Norton,07/15/2020,137,<5,Increase,2360.00,209.00,3,1.44%
Norwell,07/15/2020,123,0,No Change,1473.00,178.00,1,0.56%
Norwood,07/15/2020,584,5,Increase,5801.00,651.00,8,1.23%
Oak Bluffs,07/15/2020,6,0,Decrease,916.00,193.00,0,0.00%
Oakham,07/15/2020,7,0,No Change,204.00,30.00,0,0.00%
Orange,07/15/2020,42,<5,Increase,1215.00,182.00,3,1.65%
Orleans,07/15/2020,16,0,No Change,728.00,131.00,0,0.00%
Otis,07/15/2020,<5,0,No Change,129.00,14.00,0,0.00%
Oxford,07/15/2020,81,0,Decrease,1685.00,253.00,1,0.40%
Palmer,07/15/2020,52,<5,No Change,1374.00,245.00,2,0.82%
Paxton,07/15/2020,33,0,No Change,584.00,85.00,1,1.18%
Peabody,07/15/2020,1013,18,Increase,10231.00,1339.00,28,2.09%
Pelham,07/15/2020,<5,0,No Change,130.00,24.00,0,0.00%
Pembroke,07/15/2020,94,<5,No Change,2271.00,268.00,5,1.87%
Pepperell,07/15/2020,53,<5,No Change,1155.00,137.00,1,0.73%
Peru,07/15/2020,<5,0,No Change,68.00,7.00,0,0.00%
Petersham,07/15/2020,7,0,No Change,170.00,27.00,0,0.00%
Phillipston,07/15/2020,16,0,Decrease,225.00,26.00,0,0.00%
Pittsfield,07/15/2020,186,10,Increase,6501.00,794.00,10,1.26%
Plainfield,07/15/2020,<5,0,No Change,68.00,10.00,0,0.00%
Plainville,07/15/2020,65,0,Decrease,1118.00,122.00,0,0.00%
Plymouth,07/15/2020,606,9,Decrease,10235.00,1106.00,26,2.35%
Plympton,07/15/2020,11,0,No Change,367.00,50.00,0,0.00%
Princeton,07/15/2020,6,0,No Change,433.00,78.00,0,0.00%
Provincetown,07/15/2020,22,0,No Change,871.00,77.00,0,0.00%
Quincy,07/15/2020,1167,30,Increase,15562.00,1698.00,40,2.36%
Randolph,07/15/2020,967,19,Increase,7474.00,674.00,22,3.26%
Raynham,07/15/2020,240,<5,No Change,2416.00,145.00,3,2.07%
Reading,07/15/2020,304,5,No Change,4005.00,600.00,5,0.83%
Rehoboth,07/15/2020,63,0,No Change,1179.00,130.00,0,0.00%
Revere,07/15/2020,1838,39,Decrease,13182.00,1424.00,59,4.14%
Richmond,07/15/2020,5,0,No Change,142.00,30.00,0,0.00%
Rochester,07/15/2020,38,<5,Decrease,696.00,49.00,2,4.08%
Rockland,07/15/2020,284,<5,Decrease,2920.00,270.00,5,1.85%
Rockport,07/15/2020,82,<5,Increase,975.00,150.00,2,1.33%
Rowe,07/15/2020,0,0,No Change,36.00,1.00,0,0.00%
Rowley,07/15/2020,62,<5,Decrease,1012.00,162.00,7,4.32%
Royalston,07/15/2020,<5,0,No Change,140.00,22.00,0,0.00%
Russell,07/15/2020,16,<5,Increase,177.00,31.00,4,12.90%
Rutland,07/15/2020,54,<5,Increase,1064.00,142.00,2,1.41%
Salem,07/15/2020,641,8,Decrease,8086.00,1020.00,13,1.27%
Salisbury,07/15/2020,55,<5,Increase,1193.00,150.00,3,2.00%
Sandisfield,07/15/2020,<5,0,No Change,177.00,15.00,0,0.00%
Sandwich,07/15/2020,97,<5,Increase,2427.00,390.00,4,1.03%
Saugus,07/15/2020,562,7,Increase,5530.00,709.00,14,1.97%
Savoy,07/15/2020,<5,0,No Change,55.00,15.00,0,0.00%
Scituate,07/15/2020,194,5,Increase,2554.00,333.00,5,1.50%
Seekonk,07/15/2020,86,<5,Decrease,1419.00,185.00,4,2.16%
Sharon,07/15/2020,160,<5,Decrease,2490.00,327.00,1,0.31%
Sheffield,07/15/2020,15,0,No Change,335.00,49.00,0,0.00%
Shelburne,07/15/2020,8,0,No Change,447.00,80.00,0,0.00%
Sherborn,07/15/2020,15,0,No Change,474.00,79.00,0,0.00%
Shirley,07/15/2020,177,<5,No Change,2877.00,77.00,1,1.30%
Shrewsbury,07/15/2020,331,9,Decrease,5319.00,860.00,9,1.05%
Shutesbury,07/15/2020,<5,0,No Change,163.00,38.00,0,0.00%
Somerset,07/15/2020,206,<5,Decrease,3492.00,221.00,4,1.81%
Somerville,07/15/2020,978,10,Decrease,18929.00,2335.00,19,0.81%
South Hadley,07/15/2020,150,<5,No Change,1917.00,281.00,3,1.07%
Southampton,07/15/2020,31,0,Decrease,622.00,101.00,0,0.00%
Southborough,07/15/2020,44,<5,Decrease,1202.00,181.00,3,1.66%
Southbridge,07/15/2020,171,<5,Decrease,2112.00,452.00,4,0.88%
Southwick,07/15/2020,55,<5,Decrease,1119.00,186.00,3,1.61%
Spencer,07/15/2020,52,0,Decrease,1491.00,245.00,0,0.00%
Springfield,07/15/2020,2919,70,Decrease,24644.00,2986.00,101,3.38%
Sterling,07/15/2020,122,0,Decrease,1293.00,144.00,1,0.69%
Stockbridge,07/15/2020,14,0,No Change,324.00,85.00,0,0.00%
Stoneham,07/15/2020,392,6,Decrease,4291.00,601.00,6,1.00%
Stoughton,07/15/2020,621,8,Decrease,5242.00,441.00,9,2.04%
Stow,07/15/2020,27,0,No Change,783.00,93.00,0,0.00%
Sturbridge,07/15/2020,43,0,Decrease,903.00,215.00,1,0.47%
Sudbury,07/15/2020,199,<5,Increase,2596.00,287.00,2,0.70%
Sunderland,07/15/2020,9,0,No Change,372.00,65.00,0,0.00%
Sutton,07/15/2020,50,0,No Change,1076.00,205.00,0,0.00%
Swampscott,07/15/2020,136,<5,No Change,2674.00,344.00,6,1.74%
Swansea,07/15/2020,136,<5,Decrease,2434.00,168.00,2,1.19%
Taunton,07/15/2020,992,17,Decrease,10194.00,521.00,25,4.80%
Templeton,07/15/2020,124,0,Decrease,1378.00,172.00,0,0.00%
Tewksbury,07/15/2020,597,9,Increase,6955.00,661.00,15,2.27%
Tisbury,07/15/2020,10,<5,Increase,1796.00,493.00,3,0.61%
Tolland,07/15/2020,<5,0,No Change,20.00,3.00,0,0.00%
Topsfield,07/15/2020,116,0,Decrease,1065.00,142.00,1,0.70%
Townsend,07/15/2020,35,0,No Change,1111.00,134.00,0,0.00%
Truro,07/15/2020,10,0,No Change,301.00,44.00,0,0.00%
Tyngsborough,07/15/2020,95,<5,Increase,1764.00,221.00,3,1.36%
Tyringham,07/15/2020,<5,0,No Change,30.00,4.00,0,0.00%
Upton,07/15/2020,25,<5,No Change,727.00,112.00,1,0.89%
Uxbridge,07/15/2020,78,0,Decrease,1616.00,232.00,4,1.72%
Wakefield,07/15/2020,321,5,Increase,5040.00,726.00,5,0.69%
Wales,07/15/2020,<5,0,No Change,149.00,33.00,0,0.00%
Walpole,07/15/2020,238,5,No Change,4065.00,438.00,6,1.37%
Waltham,07/15/2020,1252,12,Decrease,10373.00,1166.00,22,1.89%
Ware,07/15/2020,33,<5,Increase,1115.00,193.00,2,1.04%
Wareham,07/15/2020,216,<5,Increase,3412.00,220.00,4,1.82%
Warren,07/15/2020,24,<5,No Change,446.00,99.00,2,2.02%
Warwick,07/15/2020,0,0,No Change,80.00,14.00,0,0.00%
Washington,07/15/2020,<5,0,No Change,42.00,5.00,0,0.00%
Watertown,07/15/2020,396,<5,Decrease,5326.00,656.00,7,1.07%
Wayland,07/15/2020,109,<5,Decrease,2031.00,331.00,2,0.60%
Webster,07/15/2020,263,6,Decrease,3261.00,547.00,11,2.01%
Wellesley,07/15/2020,239,5,Decrease,3457.00,544.00,6,1.10%
Wellfleet,07/15/2020,5,<5,No Change,372.00,54.00,1,1.85%
Wendell,07/15/2020,0,0,No Change,100.00,13.00,0,0.00%
Wenham,07/15/2020,20,<5,No Change,446.00,80.00,1,1.25%
West Boylston,07/15/2020,48,5,Increase,1175.00,141.00,5,3.55%
West Bridgewater,07/15/2020,141,0,No Change,1374.00,103.00,3,2.91%
West Brookfield,07/15/2020,22,<5,Increase,686.00,121.00,3,2.48%
West Newbury,07/15/2020,10,0,No Change,519.00,120.00,0,0.00%
West Springfield,07/15/2020,391,16,Increase,4255.00,488.00,17,3.48%
West Stockbridge,07/15/2020,5,0,No Change,150.00,30.00,0,0.00%
West Tisbury,07/15/2020,11,<5,Increase,596.00,214.00,5,2.34%
Westborough,07/15/2020,336,<5,Increase,2978.00,356.00,2,0.56%
Westfield,07/15/2020,466,10,Decrease,5643.00,939.00,14,1.49%
Westford,07/15/2020,145,<5,Decrease,3056.00,391.00,7,1.79%
Westhampton,07/15/2020,5,0,No Change,139.00,34.00,0,0.00%
Westminster,07/15/2020,33,<5,Increase,1034.00,144.00,1,0.69%
Weston,07/15/2020,112,<5,Decrease,1971.00,319.00,1,0.31%
Westport,07/15/2020,100,<5,Decrease,2174.00,194.00,2,1.03%
Westwood,07/15/2020,132,<5,Decrease,2249.00,303.00,4,1.32%
Weymouth,07/15/2020,735,12,Decrease,9154.00,994.00,21,2.11%
Whately,07/15/2020,5,0,No Change,79.00,12.00,0,0.00%
Whitman,07/15/2020,190,<5,Decrease,2211.00,225.00,3,1.33%
Wilbraham,07/15/2020,226,<5,Increase,2001.00,265.00,2,0.75%
Williamsburg,07/15/2020,11,<5,No Change,494.00,90.00,1,1.11%
Williamstown,07/15/2020,83,<5,No Change,1145.00,117.00,1,0.85%
Wilmington,07/15/2020,337,5,Decrease,3529.00,474.00,5,1.05%
Winchendon,07/15/2020,89,<5,No Change,1627.00,174.00,2,1.15%
Winchester,07/15/2020,119,<5,Increase,3471.00,597.00,3,0.50%
Windsor,07/15/2020,0,0,No Change,77.00,9.00,0,0.00%
Winthrop,07/15/2020,297,39,Increase,3673.00,867.00,40,4.61%
Woburn,07/15/2020,650,11,Decrease,7003.00,866.00,18,2.08%
Worcester,07/15/2020,5352,84,Decrease,43730.00,5105.00,131,2.57%
Worthington,07/15/2020,0,0,No Change,122.00,27.00,0,0.00%
Wrentham,07/15/2020,193,<5,Decrease,2275.00,223.00,2,0.90%
Yarmouth,07/15/2020,115,0,Decrease,3596.00,515.00,0,0.00%
Unknown,07/15/2020,264,23,*,45664.00,4768.00,23,*
State,07/15/2020,106128,1996,Increase,1256303.00,151282.00,2888,1.91%